MPs,nilre_filter_Red_component_percentile_50th,nilre_filter_ Red_ component_percentile_90th,nilre_filter_Green_component_percentile_50th,nilre_filter_ Green_ component_percentile_90th,nilre_filter_Blue_component_percentile_50th,nilre_filter_ Blue_ component_percentile_90th,DAPI_filter_Red_component_percentile_50th,DAPI_filter_ Red_ component_percentile_90th,DAPI_filter_Green_component_percentile_50th,DAPI_filter_ Green_ component_percentile_90th,DAPI_filter_Blue_component_percentile_50th,DAPI_filter_ Blue_ component_percentile_90th,FITC_filter_Red_component_percentile_50th,FITC_filter_ Red_ component_percentile_90th,FITC_filter_Green_component_percentile_50th,FITC_filter_ Green_ component_percentile_90th,FITC_filter_Blue_component_percentile_50th,FITC_filter_ Blue_ component_percentile_90th
OM,3.4,9.9,0.0,0.0,0.0,0.0,6.3,14.0,10.8,19.6,16.9,19.1,0.0,0.0,0.0,0.0,0.0,0.0
PA,102.3,178.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA6,4.1,4.1,0.0,0.0,0.0,0.0,0.3,0.6,38.5,40.6,61.4,64.6,0.0,0.0,0.0,0.0,0.0,0.0
PE,42.1,69.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.5,220.1,28.7,33.9
PE100,63.5,73.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,185.8,194.5,28.6,30.0
PE102,63.4,68.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,154.4,172.9,23.8,26.7
pet,208.7,240.7,0.0,0.0,0.0,0.0,0.3,0.3,46.6,59.5,74.3,94.9,0.0,0.0,0.0,0.0,0.0,0.0
petmono,4.1,4.1,0.0,0.0,0.0,0.0,0.3,0.3,45.8,47.0,73.0,74.9,0.0,0.0,0.0,0.0,0.0,0.0
PLA,113.2,152.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,33.5,43.2,53.2,0.0,0.0,0.0,0.0,0.0,0.0
PP,0.0,0.0,0.0,0.0,34.1,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,165.1,172.4,25.4,26.5
PP1,6.2,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,162.4,190.1,25.0,29.3
PS,250.8,253.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,53.7,0.6,8.1
PVC,35.9,59.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,78.9,119.7,126.0,0.0,0.0,0.0,0.0,0.0,0.0
