MPs,percentil _10th,percentile_50th,percentile-90th,Filter_Set,Channel
OM,2.411,3.3935,9.858,1.0,1.0
PA,89.4235,102.826,128.961,2.0,2.0
PA6,3.9627,4.0215,4.0803,2.0,1.0
PE,24.816,28.7255,33.886,2.0,1.0
PE100,27.5075,28.608,29.96,2.0,1.0
PE102,22.2125,23.7935,26.6605,3.0,3.0
pet,35.084,46.6225,59.5205,3.0,2.0
petmono,4.0923,4.0935,4.0947,1.0,1.0
Petmono,44.5769,45.7845,46.9921,3.0,2.0
Petmono,71.0113,72.9525,74.8937,3.0,3.0
PLA,26.1755,27.195,33.4625,3.0,2.0
PLA,41.5735,43.2065,53.2385,3.0,3.0
PP,34.054,34.054,34.054,3.0,3.0
PP,24.2742,25.407,26.5398,1.0,3.0
PP,157.7775,165.1115,172.4455,3.0,2.0
PP1,6.1209,6.1605,6.2001,1.0,1.0
PP1,17.2115,25.0045,29.288,3.0,3.0
PP1,112.3775,162.4355,190.1405,3.0,2.0
PS,244.6135,250.7915,253.799,2.0,2.0
Psf,71.1078,75.019,78.9302,3.0,2.0
Psf,113.4556,119.714,125.9724,3.0,3.0
PVC,17.177,23.5615,40.2845,2.0,2.0
PVC,21.9725,30.2305,52.005,2.0,1.0
