Channel,Label,Filter_set,percentil_10th,percentile_50th,percentile_90th
Blue,OM,DAPI,10.9255,16.9,19.0973
Blue,OM,nilre,0,0,0
Blue,PA6,nilre,0,0,0
Blue,PA6,rhodb,0,0,0
Blue,PA6,DAPI,55.4871,61.3775,64.6281
Blue,PA,nilre,0,0,0
Blue,PA,rhodb,0,0,0
Blue,PE100,FITC,27.5075,28.608,29.96
Blue,PE100,nilre,0,0,0
Blue,PE100,rhodb,0,0,0
Blue,PE102,FITC,22.2125,23.7935,26.6605
Blue,PE102,nilre,0,0,0
Blue,PE102,rhodb,0,0,0
Blue,Petmonofilamento,DAPI,71.0113,72.9525,74.8937
Blue,petmono,nilre,0,0,0
Blue,pet,DAPI,55.851,74.285,94.9265
Blue,pet,nilre,0,0,0
Blue,pet,rhodb,0,0,0
Blue,PE,FITC,24.816,28.7255,33.886
Blue,PE,nilre,0,0,0
Blue,PE,rhodb,0,0,0
Blue,PLA,DAPI,41.5735,43.2065,53.2385
Blue,PLA,nilre,0,0,0
Blue,PLA,rhodb,0,0,0
Blue,PP1,FITC,17.2115,25.0045,29.288
Blue,PP1,nilre,0,0,0
Blue,PP,FITC,24.2742,25.407,26.5398
Blue,PP,nilre,34.054,34.054,34.054
Blue,Psf,DAPI,113.4556,119.714,125.9724
Blue,PS,FITC,0,0.6165,8.0625
Blue,PS,nilre,0,0,0
Blue,PS,rhodb,0,0,0
Blue,PVC,nilre,0,0,0
Blue,PVC,rhodb,0,0,0
Green,OM,DAPI,7.1165,10.777,19.5741
Green,OM,nilre,0,0,0
Green,PA6,nilre,0,0,0
Green,PA6,rhodb,3.1773,3.2425,3.3077
Green,PA6,DAPI,34.8568,38.5475,40.5883
Green,PA,nilre,0,0,0
Green,PA,rhodb,89.4235,102.826,128.961
Green,PE100,FITC,178.7045,185.783,194.5095
Green,PE100,nilre,0,0,0
Green,PE100,rhodb,12.2475,13.951,15.5
Green,PE102,FITC,144.279,154.414,172.8965
Green,PE102,nilre,0,0,0
Green,PE102,rhodb,19.167,22.1085,23.1465
Green,Petmonofilamento,DAPI,44.5769,45.7845,46.9921
Green,petmono,nilre,0,0,0
Green,pet,DAPI,35.084,46.6225,59.5205
Green,pet,nilre,0,0,0
Green,pet,rhodb,81.625,102.444,125.9405
Green,PE,FITC,161.323,186.521,220.0615
Green,PE,nilre,0,0,0
Green,PE,rhodb,3.6475,4.461,16.4005
Green,PLA,DAPI,26.1755,27.195,33.4625
Green,PLA,nilre,0,0,0
Green,PLA,rhodb,53.002,79.721,98.3595
Green,PP1,FITC,112.3775,162.4355,190.1405
Green,PP1,nilre,0,0,0
Green,PP,FITC,157.7775,165.1115,172.4455
Green,PP,nilre,0,0,0
Green,Psf,DAPI,71.1078,75.019,78.9302
Green,PS,FITC,0.955,5.9975,53.651
Green,PS,nilre,0,0,0
Green,PS,rhodb,175.3605,185.6,190.2275
Green,PVC,nilre,0,0,0
Green,PVC,rhodb,17.177,23.5615,40.2845
Red,OM,DAPI,0.0631,6.2975,13.9872
Red,OM,nilre,2.411,3.3935,9.858
Red,PA6,nilre,4.0923,4.0935,4.0947
Red,PA6,rhodb,3.9627,4.0215,4.0803
Red,PA6,DAPI,0,0.2595,0.6067
Red,PA,nilre,77.4665,102.2895,178.155
Red,PA,rhodb,115.851,133.2755,167.235
Red,PE100,FITC,0.111,0.1155,0.1225
Red,PE100,nilre,55.6025,63.5405,73.8985
Red,PE100,rhodb,15.6405,17.8685,19.847
Red,PE102,FITC,0.1175,0.1315,0.133
Red,PE102,nilre,50.5535,63.356,68.32
Red,PE102,rhodb,24.646,28.463,29.8375
Red,Petmonofilamento,DAPI,0.2598,0.279,0.2982
Red,petmono,nilre,4.0923,4.0935,4.0947
Red,pet,DAPI,0.2115,0.2625,0.317
Red,pet,nilre,191.353,208.6525,240.67
Red,pet,rhodb,106.0525,133.052,163.5695
Red,PE,FITC,0,0,0
Red,PE,nilre,23.6155,42.1075,69.8085
Red,PE,rhodb,4.3835,5.4465,20.9155
Red,PLA,DAPI,0,0,0
Red,PLA,nilre,66.057,113.244,152
Red,PLA,rhodb,68.505,103.242,127.4635
Red,PP1,FITC,0,0.337,0.502
Red,PP1,nilre,6.1209,6.1605,6.2001
Red,PP,FITC,0.0438,0.055,0.0662
Red,PP,nilre,0,0,0
Red,Psf,DAPI,0.0388,0.042,0.0452
Red,PS,FITC,0,0.022,1.016
Red,PS,nilre,244.6135,250.7915,253.799
Red,PS,rhodb,227.6105,240.721,246.5825
Red,PVC,nilre,2.191,35.8645,59.3985
Red,PVC,rhodb,21.9725,30.2305,52.005
